id,epoch_ms,datetime_utc,latitude,longitude,type
1318,1688323871000.0,2023-07-02 18.51.11.000,2.4137409708113924,124.95963947193145,2
1319,1688323881000.0,2023-07-02 18.51.21.000,2.590635398171846,124.8531278899627,2
1320,1688323884000.0,2023-07-02 18.51.24.000,2.3723694352899556,125.34138511972012,2
1321,1688323891000.0,2023-07-02 18.51.31.000,2.3093360244767567,124.70341362312736,0
1322,1688323896000.0,2023-07-02 18.51.36.000,2.6037430176196676,124.82933208175423,2
1323,1688323898000.0,2023-07-02 18.51.38.000,3.7768340299995082,124.81955201569477,2
1324,1688323899000.0,2023-07-02 18.51.39.000,-1.0267491957903958,123.41003137422479,0
1325,1688323902000.0,2023-07-02 18.51.42.000,2.15845663891271,125.18975595492714,2
1326,1688323914000.0,2023-07-02 18.51.54.000,1.375097002812308,124.0602496359794,2
1327,1688323922000.0,2023-07-02 18.52.02.000,2.4890899085158655,124.94628207887622,0
1328,1688323922000.0,2023-07-02 18.52.02.000,2.1723387465105994,124.95643932437441,2
1329,1688323926000.0,2023-07-02 18.52.06.000,2.092023942945281,124.0993665642139,2
1330,1688323929000.0,2023-07-02 18.52.09.000,-4.094299341616439,128.69726784326738,1
1331,1688323936000.0,2023-07-02 18.52.16.000,-1.319842716157739,123.45486203400938,0
1332,1688323953000.0,2023-07-02 18.52.33.000,-0.9987417244400933,125.48416887511492,2
1333,1688323958000.0,2023-07-02 18.52.38.000,0.31408015481446344,133.10661906041972,2
1334,1688323983000.0,2023-07-02 18.53.03.000,-0.8063807824073103,124.34191816786803,0
1335,1688323984000.0,2023-07-02 18.53.04.000,2.1354279752481067,125.18588744364821,0
1336,1688323984000.0,2023-07-02 18.53.04.000,2.337362105073986,124.7825437131498,2
1337,1688323991000.0,2023-07-02 18.53.11.000,2.2078326895548734,124.71883315907124,2
1338,1688324033000.0,2023-07-02 18.53.53.000,2.5124298037035464,124.88576606875117,2
1339,1688324033000.0,2023-07-02 18.53.53.000,2.3135584089573245,124.92626884925618,2
1340,1688324036000.0,2023-07-02 18.53.56.000,-1.2050053282370363,123.70936753042213,0
1341,1688324054000.0,2023-07-02 18.54.14.000,1.8229360867045545,124.61174988133483,2
1342,1688324071000.0,2023-07-02 18.54.31.000,-0.8186078897941783,124.65688681811366,0
1343,1688324074000.0,2023-07-02 18.54.34.000,1.7306589110056336,123.94833137492388,2
1344,1688324075000.0,2023-07-02 18.54.35.000,2.0635176072900694,124.24302827985369,2
1345,1688324087000.0,2023-07-02 18.54.47.000,-0.5648299824515399,125.90259482819438,2
1346,1688324101000.0,2023-07-02 18.55.01.000,-0.6492210378709047,124.30437015655473,0
1347,1688324112000.0,2023-07-02 18.55.12.000,-0.8338945556151874,124.64504348238124,0
1348,1688324123000.0,2023-07-02 18.55.23.000,2.327221884912174,125.02066267630707,2
1349,1688324133000.0,2023-07-02 18.55.33.000,2.161881440232198,125.14942476764544,0
1350,1688324138000.0,2023-07-02 18.55.38.000,-3.9588415250021862,125.80424853967618,2
1351,1688324147000.0,2023-07-02 18.55.47.000,1.7338642498186405,124.07070308498518,0
1352,1688324167000.0,2023-07-02 18.56.07.000,2.271202197582493,125.19973966433608,0
1353,1688324187000.0,2023-07-02 18.56.27.000,2.193175501120605,125.17999280777228,0
1354,1688324190000.0,2023-07-02 18.56.30.000,-1.2659054073103053,124.26892239928026,0
1355,1688324196000.0,2023-07-02 18.56.36.000,2.548819491429375,125.02340636333463,2
1356,1688324200000.0,2023-07-02 18.56.40.000,6.403131577281325,126.85318941147918,2
1357,1688324200000.0,2023-07-02 18.56.40.000,5.582298422953204,124.3902874162344,1
1358,1688324205000.0,2023-07-02 18.56.45.000,-0.6323932615111958,123.84705193965895,0
1359,1688324212000.0,2023-07-02 18.56.52.000,2.250880336716132,124.94033563859013,2
1360,1688324260000.0,2023-07-02 18.57.40.000,2.203799044971776,124.92274803125724,0
1361,1688324262000.0,2023-07-02 18.57.42.000,2.3275694140968115,124.74527343025919,0
1362,1688324294000.0,2023-07-02 18.58.14.000,2.510240595760078,125.20988892921063,2
1363,1688324294000.0,2023-07-02 18.58.14.000,2.28376145609339,124.96062430939374,0
1364,1688324296000.0,2023-07-02 18.58.16.000,2.4230296039120307,124.83626578204633,0
1365,1688324296000.0,2023-07-02 18.58.16.000,2.5583079160589417,124.88523553367517,2
1366,1688324305000.0,2023-07-02 18.58.25.000,-1.0776002749770872,125.69307537487062,2
1367,1688324309000.0,2023-07-02 18.58.29.000,-1.3763043846432244,123.36279472258654,0
1368,1688324331000.0,2023-07-02 18.58.51.000,2.48872376558576,124.80421648286543,0
1369,1688324337000.0,2023-07-02 18.58.57.000,1.762331391515906,124.56091031024856,0
1370,1688324344000.0,2023-07-02 18.59.04.000,-0.9044793235909937,124.21084054444063,0
1371,1688324363000.0,2023-07-02 18.59.23.000,2.6101344394835335,125.10570393796078,2
1372,1688324371000.0,2023-07-02 18.59.31.000,2.1742393698935465,124.27120819019643,0
1373,1688324374000.0,2023-07-02 18.59.34.000,2.296589369668445,125.19549448290114,2
1374,1688324379000.0,2023-07-02 18.59.39.000,-0.655676514922782,124.10028785695849,0
1375,1688324390000.0,2023-07-02 18.59.50.000,2.5870017044264837,124.91726660154734,2
1376,1688324402000.0,2023-07-02 19.00.02.000,2.5002831849788443,124.96529945093039,0
1377,1688324421000.0,2023-07-02 19.00.21.000,-0.8671684368105599,124.1811469648544,0
1378,1688324422000.0,2023-07-02 19.00.22.000,1.809796977640666,124.3395894400143,0
1379,1688324429000.0,2023-07-02 19.00.29.000,2.5933739386896715,124.89962552263405,2
1380,1688324433000.0,2023-07-02 19.00.33.000,-1.146667466667311,124.16208970498488,0
1381,1688324438000.0,2023-07-02 19.00.38.000,2.3552356048524095,124.6781093914153,0
1382,1688324444000.0,2023-07-02 19.00.44.000,1.8868516997594968,124.16650481776425,0
1383,1688324465000.0,2023-07-02 19.01.05.000,-1.1405516994316838,124.31646143745688,0
1384,1688324470000.0,2023-07-02 19.01.10.000,2.35030461289073,124.8326323587886,2
1385,1688324471000.0,2023-07-02 19.01.11.000,-0.39626827189658503,123.81825375159242,0
1386,1688324475000.0,2023-07-02 19.01.15.000,1.660045757490355,124.05948270625838,2
1387,1688324482000.0,2023-07-02 19.01.22.000,2.629833403330552,124.97221707984157,2
1388,1688324499000.0,2023-07-02 19.01.39.000,2.6000173130239563,124.78251601370847,2
1389,1688324503000.0,2023-07-02 19.01.43.000,-1.1567193956622543,124.16814017106034,1
1390,1688324518000.0,2023-07-02 19.01.58.000,1.756569960731856,124.25594228023803,2
1391,1688324525000.0,2023-07-02 19.02.05.000,1.908772999661034,124.57786995048993,0
1392,1688324540000.0,2023-07-02 19.02.20.000,-0.611439303180934,123.80979706453635,2
1393,1688324540000.0,2023-07-02 19.02.20.000,-0.5525427308985058,123.89298299866003,2
1394,1688324541000.0,2023-07-02 19.02.21.000,-0.33227883080746506,124.043110498549,0
1395,1688324570000.0,2023-07-02 19.02.50.000,2.7773305914235693,124.92888333286673,2
1396,1688324571000.0,2023-07-02 19.02.51.000,2.254720968447419,125.06994920041808,0
1397,1688324583000.0,2023-07-02 19.03.03.000,2.3567035593890227,124.79432481895458,2
1398,1688324592000.0,2023-07-02 19.03.12.000,2.5643188956818106,124.79044811402193,2
1399,1688324603000.0,2023-07-02 19.03.23.000,2.060184203934958,124.18344105595456,2
1400,1688324641000.0,2023-07-02 19.04.01.000,2.560452453328674,124.85363024718448,2
1401,1688324641000.0,2023-07-02 19.04.01.000,2.285090157657268,124.81413651958096,2
1402,1688324648000.0,2023-07-02 19.04.08.000,1.8036902151002245,123.91324059836494,0
1403,1688324650000.0,2023-07-02 19.04.10.000,2.8645395939183413,124.861025967042,0
1404,1688324663000.0,2023-07-02 19.04.23.000,-0.6293757825260091,123.97191041293073,2
1405,1688324663000.0,2023-07-02 19.04.23.000,-0.5189040472014764,122.25493277555616,0
1406,1688324675000.0,2023-07-02 19.04.35.000,-1.3647870483299833,122.98341196856255,2
1407,1688324675000.0,2023-07-02 19.04.35.000,2.408223889183278,125.17636411897158,0
1408,1688324692000.0,2023-07-02 19.04.52.000,1.8723347651829134,124.57301146059508,2
1409,1688324694000.0,2023-07-02 19.04.54.000,-0.21210043973653278,122.1868670461439,0
